artist,title
Tati Quebra Barraco,Boladona
Dave Nunes, Bronka,Volt Mix Ácido Envolvente
Romanowski,Dance Dance Dance (Zegon Remix)
Latino,Maria Gasolina (Mina Quebrete) (Funk Mix By Dennis Dj)
MC Deize Tigrona,Me Chinga
Diplo,Favela On Blast
Batutinha Dj,Megamon
DJ Maestro,New Dance Kraze
Lady Sovereign,Ch Ching (Spank Rock Remix)
Munchi,Colombia Montagem
Tricky D,Take It To The Max
DukeyMan,Doggystyle
Comunidade Nin-Jitsu,Dusmeu
Unknown Artist,Virginie
A Step Beyond,Work It Out (Miami Bass Mix)
DJ Tameil,Axel Foley Theme
Bonde Do Role,Marina Do Bairro
2 Hyped Brothers & A Dog,Blow Your Whistle
M.I.A.,Baile Funk One
Freestyle Project,Pump This Party (Hyperbeat Mix)
Mike & Charlie,The Hop
Queen Of Japan,B-O-D-Y Spells Body
Munchi,Baile Pega Fogo
DJ Sandrinho,Berimbau
The Arabian Prince & The Sheiks,Situation Hot
Oli Furness,64
DubbyMaple,The Painted Cheeks
DTU,Look Into My Eyes (Miami Mix)
DJ EFX,Transbeat
Comunidade Nin-Jitsu,Cowboy
Bahamut,Bump In The Night (Original RAJO 001 Mix)
Frikstailers,Baile Frik (Original Mix)
DJ Absolutely Shit,My Desire
DJ Marquis,The Party (Y2K Mix)
Just Say Yo,Slip Slam Bam (Instrumental)
DJ Fixx,Switch - The Lost Track (Looped-up Dub)
DJ Overdose,Don't Stop
Ron C,Dookie Booty
DJ Tameil,Shotgun Buck
Latin Spyce,Bass In Full Effect
Segment 2,Cold Pump (That Body) (Dub)
The Freakazoids,Need Another Beat (Dub Edit 01)
Ill Versed,White Dove
DJ Rod Lee,What They Do
Freestylers,Drop The Boom
Scotty Marz,Hot Butta
Dukeyman,Rockwilder
Bizerk Da Jerk,Supersonic Bass (Check This Out)
Amilcka E Chocolate,A Nova Geração (Ao Vivo)
MEG,Party Time (Club Mix)
Comunidade Nin-Jitsu,Martiny (O Pancadão)
DJ Rod Lee,Dance My Pain Away
Master Mixin' Mando feat. Stigma,Pan De Dulce (Sweet Bread) - Bass Mix
M.I.A.,Bucky Done Gun
Supreme.ja,Battle Droid (Bonus Beatz)
Sanctuary Mission,Moment Of Bass
R2M,Cafe Con Leche 2003
MC Júnior & MC Leonardo,Rap Das Armas
Duice,Bring The Bass
Bizerk Da Jerk,Git Dat Bass (2 Times)
Blaqstarr,Hands Up Thumps Down
Koma & Bones,Flip Flop
DJ Tameil,Back That Thang Up (Big Ol' Butt)
Sugar Style,Taco's (Hot Sauce Radio Mix)
Ace-1,Rave Stomp II
Sabo,La Negra Chula
Jaimie Fanatic,Whats Happening To Ya (Say Wut's Zappin Remix)
Transient Peak,From Within (Original Mix)
Surkin,White Knight Two (Blaqstarr Remix)
DJ Tameil,Rude Boy Giddy Up
2 Whyte Kidz,Pass It
DJ Maestro,Dance Kraze
Imatran Voima,Computer Booty
DJ X,Use Your Luv (Malicious Mike's Big Beat Dub)
DJ Tameil,I Get Money
Mr. Catra,Bonde Do Justo
Kyng Nova,Electronic Drive
Big Red,Deenastyle
DJ Neutron,Take Me Away
Dj Tameil,Disco Stick- Dj Tameil
321 Crew,E-F-F-E-C-T
Just Say Yo,Slip Slam Bam (Radio Version)
J.J. Fad,Way Out (Long Version)
Posthuman,Steal The Show
DJ Amazing Clay,Montagem Mostrar
Krazy B,Jibberish
N.W.A.,Something 2 Dance 2
Underground Sound,La Casa (Original Latin Mix)
Bicep,Lyk Lyk
Resonate,Dance Sucker
DJ Osom,Rubberman
Def Rock Krew,Let's Party (Instrumental)
Luca Lozano,No Rewinds
Collage,Who's Crying Now
KW Griff,Joan
DJ Rod Lee,Let's Get High
Jonny Z,Latin Swing
Finch Asozial,Keine Party Ohne
