artist,title,raw_title,status,source_url
TSVI,Hossam,TSVI - Hossam,new,https://www.youtube.com/watch?v=UaNtuUK30Zo
Drippin,Air Jordans,Air Jordans,new,https://www.youtube.com/watch?v=CEhBHw5Sq84
Piezo,jRj,jRj,new,https://www.youtube.com/watch?v=wSp4LrAt-HQ
Neffa-T,Assault,Neffa-T - Assault,new,https://www.youtube.com/watch?v=Qjkspmo1Yow
Actual,A Little Treat,Actual - A Little Treat,new,https://www.youtube.com/watch?v=lPqap-SCKhg
Amit,Operator (Addison Groove Remix),Operator (Addison Groove Remix),new,https://www.youtube.com/watch?v=xKN9KQ7hYH8
Addison Groove,Dat Ass,Dat Ass,new,https://www.youtube.com/watch?v=iiGR_F0W1UA
Gora & Eloy,Still a Mystery,Still a Mystery,new,https://www.youtube.com/watch?v=GZif9y8FoJA
DJ MANNY,Party People (ALEX AUTAJON Remix),DJ MANNY -  Party People (ALEX AUTAJON Remix),new,https://www.youtube.com/watch?v=Vgx9vkfxrqs
Granul,Quarantine Groove,Quarantine Groove,new,https://www.youtube.com/watch?v=83GO_SAd4II
Pearson Sound,Quivver,Pearson Sound - Quivver,new,https://www.youtube.com/watch?v=fofwpmFc_-0
Bastiengoat,Syllogistic,Bastiengoat - Syllogistic,new,https://www.youtube.com/watch?v=N-JHDFOR8dg
Da Klubb Kings,It's Time 2 Get Funky (Speed Garage Mix),Da Klubb Kings - It's Time 2 Get Funky (Speed Garage Mix),new,https://www.youtube.com/watch?v=M-gAdyVCqRc
Mongo Bongo,Got To Get Up (The Strange Strings & Things Mix) (2001),Mongo Bongo - Got To Get Up (The Strange Strings & Things Mix) (2001),new,https://www.youtube.com/watch?v=OvxaNug1rGk
SoundBwoy Addiction,Fck U,SoundBwoy Addiction - Fck U,new,https://www.youtube.com/watch?v=0Is4dE2kF_8
187 Lockdown,Gunman (Original Mix) (1997),187 Lockdown - Gunman (Original Mix) (1997),new,https://www.youtube.com/watch?v=pwfqtPNdDFg
Judy Cheeks,Reach & Spin (Vocal Mix),Judy Cheeks - Reach & Spin (Vocal Mix),new,https://www.youtube.com/watch?v=-FnCd_Vd4DU
Scruscru,Enjoint,Enjoint,new,https://www.youtube.com/watch?v=ZEljSD-zaOY
Portable,Bubble World,Bubble World,new,https://www.youtube.com/watch?v=dJNp6XvlXp0
Unlawful DJ's,Renegade Master (CRIMINAL 008),Unlawful DJ's - Renegade Master (CRIMINAL 008),new,https://www.youtube.com/watch?v=6vvQ96dDBqE
Craig Graham,Giv Your Luv To Me,Craig Graham  - Giv Your Luv To Me,new,https://www.youtube.com/watch?v=iGifK1SKJbk
Underground Addicts,Touch The Sky,Underground Addicts - Touch The Sky,new,https://www.youtube.com/watch?v=_39EZ3EfZ0c
Nancy Kay, King Of The Jungle Cum A Laude Veste Jungle Dance Mix,Nancy Kay   King Of The Jungle Cum A Laude Veste Jungle Dance Mix,new,https://www.youtube.com/watch?v=WtYsRkdCAHE
J.M. Silk,Shadows Of Your Love (Fierce Mix),J.M. Silk - Shadows Of Your Love (Fierce Mix),new,https://www.youtube.com/watch?v=T_N6GS4o7Yk
React,Love Reaction (Invisible Dub),React - Love Reaction (Invisible Dub),new,https://www.youtube.com/watch?v=svsejuyNEYU
Craig Graham,Do It Properly,Craig Graham  - Do It Properly,new,https://www.youtube.com/watch?v=X78857KgJ4o
Lissat & Voltaxx,Young and Beautiful (Original Mix),Young and Beautiful (Original Mix),new,https://www.youtube.com/watch?v=lm4g0e3SUS8
Man Power,Ruthven,Man Power - Ruthven,new,https://www.youtube.com/watch?v=pQZu6SxycEY
Girl,"Addison Groove ""Push It""","Addison Groove ""Push It"" (Official Video)",new,https://www.youtube.com/watch?v=sZTqpYDW9hM
Blackwax,Surface,Blackwax - Surface,new,https://www.youtube.com/watch?v=iJ9MYFk-Q0U
De Grandi,Plans (Drum Mix),De Grandi - Plans (Drum Mix),new,https://www.youtube.com/watch?v=mTBUmizflnc
Peverelist,Dance Til The Police Come,Peverelist - Dance Til The Police Come,new,https://www.youtube.com/watch?v=paWsfp8aPHE
Swing Ting,Creepin',Swing Ting - Creepin',new,https://www.youtube.com/watch?v=Olop4wdsAbs
Radio Slave,Acid Dip,Radio Slave - Acid Dip,new,https://www.youtube.com/watch?v=Y7BWuhidlhs
Manao,Furro,Manao - Furro,new,https://www.youtube.com/watch?v=JOLRmPMAPsk
Portway,Dropshipping,Portway - Dropshipping,new,https://www.youtube.com/watch?v=o9W5Y6GaPVE
Jam City,The Courts,Jam City - The Courts,new,https://www.youtube.com/watch?v=Hp4wlCRzfhU
Bamao Yendé,Bamzinho Guevara,Bamao Yendé  - Bamzinho Guevara (Official Audio),new,https://www.youtube.com/watch?v=RI786Tjr2tc
Pusherman,Donuts (Diamond Bass Remix),Pusherman - Donuts (Diamond Bass Remix),new,https://www.youtube.com/watch?v=tTKnYAMZJOc
Elsewhere,And I,Elsewhere - And I,new,https://www.youtube.com/watch?v=6t3yqSi5_sY
Monty DJ,Gina,Gina,new,https://www.youtube.com/watch?v=95-M9kJ2_0A
Aloka,Typo (Doctor Jeep Remix),Aloka - Typo (Doctor Jeep Remix),new,https://www.youtube.com/watch?v=YCWkRwFulas
TSVI,Gold Cave,Gold Cave,new,https://www.youtube.com/watch?v=n_fWJESMDh4
A1 Bassline,Falsehood,A1 Bassline - Falsehood,new,https://www.youtube.com/watch?v=73GTilj1UFs
Cosmic Force,Return of the Electric Vision,Return of the Electric Vision,new,https://www.youtube.com/watch?v=B8R7GKZ6idg
Anton Neumark,Need You Tonight (Goodwill & Tommy Trash Remix),Need You Tonight (Goodwill & Tommy Trash Remix),new,https://www.youtube.com/watch?v=JPKWxS4a01I
Buckley & Woodall,Kitch N Sync (Original Mix),Kitch N Sync (Original Mix),new,https://www.youtube.com/watch?v=d-lBZuNov8Q
Gray,Compiland (Allan Banford Remix),Gray – Compiland (Allan Banford Remix),new,https://www.youtube.com/watch?v=nrrrLl4mpHI
Noisebuilder,Warmgirl,Noisebuilder - Warmgirl,new,https://www.youtube.com/watch?v=agGCAkQg5uA
Lusio Toledo,Puta Madre (Joe T Vannelli Electro Vocal Mix),Puta Madre (Joe T Vannelli Electro Vocal Mix),new,https://www.youtube.com/watch?v=xdiDiFTvkOc
psilodump,knacidx5,knacidx5,new,https://www.youtube.com/watch?v=zMJbQyNwXfA
Jose Rodriguez,Licantropia Avanzada,Licantropia Avanzada,new,https://www.youtube.com/watch?v=yD5CgVhHA3E
AAAA,Anorak,AAAA - Anorak,new,https://www.youtube.com/watch?v=tqmtyIuFNdA
Cirez D,The Raid,Cirez D - The Raid,new,https://www.youtube.com/watch?v=0_Cv_IaRTPM
Ortin Cam & Charles Bells,Machine Code,Machine Code,new,https://www.youtube.com/watch?v=VlyymzQ8_9Y
Ministry of primitive arts,Prototype,Ministry of primitive arts   Prototype,new,https://www.youtube.com/watch?v=027bVHoqgb8
Christian Fischer,Everybody Needs,Everybody Needs,new,https://www.youtube.com/watch?v=DpvgBPfUI9g
Xpansul & Elesbaan, El Partido Del Siglo (Iñaqui Marín & Jaumëtic Que N'Aprenguin Mix),Xpansul & Elesbaan – El Partido Del Siglo (Iñaqui Marín & Jaumëtic Que N'Aprenguin Mix),new,https://www.youtube.com/watch?v=2tAc2lpIyAQ
2B Cut, Beatmaster (New Beat Mix),2B Cut – Beatmaster (New Beat Mix),new,https://www.youtube.com/watch?v=amPJo2Fg0i4
Hardfloor,Once Again Back (Floor Mix),Once Again Back (Floor Mix),new,https://www.youtube.com/watch?v=NEEtxuUbvgQ
Tiga,Mind Dimension (Ben Sterling Remix),Tiga - Mind Dimension (Ben Sterling Remix),new,https://www.youtube.com/watch?v=OTqr31-54_w
Kerri Chandler,Useless,Kerri Chandler - Useless,new,https://www.youtube.com/watch?v=NwJqNoHM2DY
Information Society,Where Would I Be Without IBM,Information Society - Where Would I Be Without IBM,new,https://www.youtube.com/watch?v=D04TRaXFuVU
Space Dimension Controller,Space Grunt,Space Grunt,new,https://www.youtube.com/watch?v=902RHQK-3pA
Male Model Machine,Electro Is Played Out (Cheshire Catz Remix),Electro Is Played Out (Cheshire Catz Remix),new,https://www.youtube.com/watch?v=T-QZSFtkHJ0
M. Ryder,Check This Bass Rx,M. Ryder - Check This Bass Rx,new,https://www.youtube.com/watch?v=k0YtSJyIUoA
INTERPLANETARY CRIMINAL,DANGEROUS [INSTINCT],INTERPLANETARY CRIMINAL - DANGEROUS [INSTINCT],new,https://www.youtube.com/watch?v=dEhE5wLWEUk
Stone Cold Steppaz,Too Blind,Stone Cold Steppaz - Too Blind,new,https://www.youtube.com/watch?v=af_rXXUNX-E
Genius Cru,Angel,Genius Cru - Angel,new,https://www.youtube.com/watch?v=jT-9QKpQ92c
Zed Bias,Let Me Know (Shake Ya Thing Remix) (DFL 010),Zed Bias - Let Me Know (Shake Ya Thing Remix) (DFL 010),new,https://www.youtube.com/watch?v=FcABAAhpefw
Jake Antonio,wants and needs,wants and needs,new,https://www.youtube.com/watch?v=HXaKVTcOsS4
Hector,Exit Acid (Clubwalker) (1996),Hector - Exit Acid (Clubwalker) (1996),new,https://www.youtube.com/watch?v=gHkTLE44X1c
Traxman,Russshhhh,Russshhhh,new,https://www.youtube.com/watch?v=VM7wBsbYU90
Beirutbiloma,Trible Vibes,Trible Vibes,new,https://www.youtube.com/watch?v=h8DE-k7rbM4
Tomás Urquieta,Koob,Koob,new,https://www.youtube.com/watch?v=RLPnakmGaKQ
City Slickers, Luna City Express,City Slickers,new,https://www.youtube.com/watch?v=zQYlVh9XB8w
Katai,Turn Of Time (Dub Mix),Turn Of Time (Dub Mix),new,https://www.youtube.com/watch?v=mvLZc9Uwk88
QUASAR,October (Q/Dandy remix),QUASAR - October (Q/Dandy remix),new,https://www.youtube.com/watch?v=DcZ9s0HypqY
JDS,Punk Or Funk (Cesar Del Rio Remix),JDS - Punk Or Funk (Cesar Del Rio Remix),new,https://www.youtube.com/watch?v=X_FPMcotavw
Y U QT,NRG (El-B Remix),Y U QT - NRG (El-B Remix),new,https://www.youtube.com/watch?v=Q134BFd7HqE
Eak,Eak – Slowly,Eak – Slowly,new,https://www.youtube.com/watch?v=5wWw8vG3760
Paul C,Smoke,Paul C - Smoke,new,https://www.youtube.com/watch?v=_E7P72i0N3E
KDM,Heaven,KDM - Heaven,new,https://www.youtube.com/watch?v=pMmEH3gXct0
Nite Life,Body Shake (Original Mix),Nite Life - Body Shake (Original Mix),new,https://www.youtube.com/watch?v=vE3zIcUHYE0
L.X.R.,Elixir Of Love (Elixir House),L.X.R. - Elixir Of Love (Elixir House),new,https://www.youtube.com/watch?v=Dl6einwb6yA
Latin Image,It's Been Cold (Radio Mix),Latin Image - It's Been Cold (Radio Mix),new,https://www.youtube.com/watch?v=LRqNq6eDpgo
